Unnamed: 0	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context	text_lemmatized
19	346130801726988290	about to just go to bed maybe cry a little and maybe stop breathing okay? okay	0	0.0	0.0	0.0	about to just go to bed maybe cry a little and maybe stop breathe okay ? okay
20	348110995861954560	greatestnotes stop searching for the right person just look for a good catcherthe one who could catch your heart when it starts falling	0	0.0	0.0	0.0	greatestnotes stop search for the right person just look for a good catcherthe one who could catch your heart when it start fall
21	349083884803198976	hm revenue defines tax evasion as serious when sum involved is higher than £ worthy of prosecution 	0	0.0	0.0	0.0	hm revenue defines tax evasion a serious when sum involve be high than £ worthy of prosecution
23	350116212899971073	the lazy marketer increase riches how to be a leader how to be recognized get protected chino hills california	0	0.0	0.0	0.0	the lazy marketer increase riches how to be a leader how to be recognize get protect chino hill california
24	350649661289275393	god dammit  poor decisions lead to negative consequences wont happen again	0	0.0	0.0	0.0	god dammit poor decision lead to negative consequence wont happen again
25	352112687028768770	new post outlining solo mapping activity for science  perhaps useful for other subjects too	0	0.0	0.0	0.0	new post outline solo mapping activity for science perhaps useful for other subject too
26	354781851375763456	girls with asses big enough to cause a pile up  and  presents     s dixie hwy hollywood fl  time 	0	0.0	0.0	0.0	girl with ass big enough to cause a pile up and present s dixie hwy hollywood fl time
27	354971560186101763	a wise physician said the best medicine for humans is love some asked if it doesnt work? he smiled&answered  increase the dose	1	1.0	0.0	0.0	a wise physician say the best medicine for human be love some ask if it doesnt work ? he smile & answer increase the dose
28	357332201190334464	zimmerman did not win the lotto ppl please stop spreading these krazy rumors	0	0.0	0.0	0.0	zimmerman do not win the lotto ppl please stop spread these krazy rumor
29	357516810666524675	when we think of unhealthy living we generally think of diet and exercise diet and exercise are an intricate 	1	1.0	0.0	0.0	when we think of unhealthy living we generally think of diet and exercise diet and exercise be an intricate
30	358829145460969473	 al shabab ambushes on kenyan forces in lower  region 	0	0.0	0.0	0.0	al shabab ambush on kenyan force in low region
31	359184948294467584	dude if people dont stop retweeting that fake frank ocean account	0	0.0	0.0	0.0	dude if people dont stop retweeting that fake frank ocean account
32	361218917303193600	teach children to treat animals responsibly do not teach captivity! join us   via freeallcetacea	0	0.0	0.0	0.0	teach child to treat animal responsibly do not teach captivity ! join u via freeallcetacea
33	362177441596321792	caution! d printers could cause health problems find out more here 	1	1.0	0.0	0.0	caution ! d printer could cause health problem find out more here
34	362864716030283777	 u see taggings all over the stop signs and shit	0	0.0	0.0	0.0	u see taggings all over the stop sign and shit
35	363172565365170176	mdlinx blog mdlinx blog neuropsychological findings in pediatric maltreatment relationship of ptsd 	1	0.0	1.0	1.0	mdlinx blog mdlinx blog neuropsychological finding in pediatric maltreatment relationship of ptsd
36	363719380967768064	rt rgj barrick gold reports $ billion q loss 	0	0.0	0.0	0.0	rt rgj barrick gold report $ billion q loss
37	364157346026500096	lemme stop talking anus	0	0.0	0.0	0.0	lem me stop talk anus
38	368890097971654656	mortgage rates continue lower ahead of  	0	0.0	0.0	0.0	mortgage rate continue low ahead of
39	369497353503264768	geminisweare  zodiacareus lavender is the scent associated with  so thats the reason i loveeeeeeee lavended	0	0.0	0.0	0.0	geminisweare zodiacareus lavender be the scent associate with so thats the reason i loveeeeeeee lavended
40	369662835972141056	% of cats born with blue eyes are deaf	1	1.0	0.0	0.0	% of cat bear with blue eye be deaf
41	371197661439078400	najdi_outsider mayami moldaa ahlamm bibi_dd  the study indicate that the brain atrophy is caused by stress not by religion	1	1.0	0.0	1.0	najdi_outsider mayami moldaa ahlamm bibi_dd the study indicate that the brain atrophy be cause by stress not by religion
43	375481363668795392	over thinking causes the mind to create negative scenarios and replay painful memories	1	1.0	0.0	0.0	over thinking cause the mind to create negative scenario and replay painful memory
44	375599373771898880	sleep boosts brain cell numbers 	1	1.0	1.0	1.0	sleep boost brain cell number
45	375694265692594176	please read this request and support this wonderful charity continue to pray for helen wade and michelle 	0	0.0	0.0	0.0	please read this request and support this wonderful charity continue to pray for helen wade and michelle
46	377536039117934592	mick_keeley omg stop ahahahah this is like year  sex ed	0	0.0	0.0	0.0	mick_keeley omg stop ahahahah this be like year sex ed
47	378087292306337792	versatile micrornas choke off cancer blood supply suppress metastasis - science daily (press release) 	1	1.0	1.0	1.0	versatile micrornas choke off cancer blood supply suppress metastasis - science daily ( press release )
49	378259375594680320	nerd out on this sprawling oral history of apple design 	0	0.0	0.0	0.0	nerd out on this sprawling oral history of apple design
50	379218265500684288	uberfacts during medieval times red hair was associated with intense sexual desire and moral degradation eelise	1	1.0	0.0	0.0	uberfacts during medieval time red hair be associate with intense sexual desire and moral degradation eelise
51	380010167581962240	codereddd god see and knw yr heart plus u are a fighter continue to stand strongim praying for u!	0	0.0	0.0	0.0	codereddd god see and knw yr heart plus u be a fighter continue to stand strongim pray for u !
52	380341864903090176	billmaher what can we do bill? all the gun laws in the fucking world wont stop mentally ill killers from killing people	1	1.0	0.0	0.0	billmaher what can we do bill ? all the gun law in the fucking world wont stop mentally ill killer from kill people
54	384330219496017920	yay bianca! mt bzgarcia cancer sux! show support for andi_sloan & affect positive change now sign the petition! 	0	0.0	0.0	0.0	yay bianca ! mt bzgarcia cancer sux ! show support for andi_sloan & affect positive change now sign the petition !
55	384405549905092608	this little bellend has to stop crying oh my god get a grip	0	0.0	0.0	0.0	this little bellend have to stop cry oh my god get a grip
56	384881095906299904	wavy - pound cake (freestyle)  - support this record im not the one just to send you anything bet	0	0.0	0.0	0.0	wavy - pound cake ( freestyle ) - support this record im not the one just to send you anything bet
58	394131909032161280	the world stops for el classico its the rules even stopped playing fifa	0	0.0	0.0	0.0	the world stop for el classico it the rule even stop play fifa
59	394159135400263681	this guy singing no woman no drive is the best video to support saudi women challenging driving ban in thi 	0	0.0	0.0	0.0	this guy sing no woman no drive be the best video to support saudi woman challenge drive ban in thi
60	396020068423065600	how to fold a suit shirt & pants together to prevent wrinkling - 	0	0.0	0.0	0.0	how to fold a suit shirt & pant together to prevent wrinkle -
61	396940972694568960	modeling precision treatment of breast cancer - looks great ! 	1	0.0	1.0	1.0	model precision treatment of breast cancer - look great !
62	397206548943867905	khushsundar do u think legalising prostitution in all states will decrease sexual abusing pls give me s reply mam	1	1.0	0.0	0.0	khushsundar do u think legalise prostitution in all state will decrease sexual abuse pls give me s reply mam
63	398450991726485505	aegon uk reports rise in earnings 	0	0.0	0.0	0.0	aegon uk report rise in earnings
64	398716322193764352	mc_sincere those eyes are a gift send straight from god boy!!! hahahaha	0	0.0	0.0	0.0	mc_sincere those eye be a gift send straight from god boy ! ! ! hahahaha
65	398893112812392449	amazon plans to lower the cost of processing big data in the cloud   	0	0.0	0.0	0.0	amazon plan to lower the cost of process big data in the cloud
66	402844901475618816	  cost significantly more than single births study shows 	1	1.0	1.0	1.0	cost significantly more than single birth study show
67	402941487509671936	the taxi s are a must have	0	0.0	0.0	0.0	the taxi s be a must have
68	403454747287359488	the existence of absolute poverty today points to the indifference of many in the rich world  via prospect_uk	1	1.0	0.0	0.0	the existence of absolute poverty today point to the indifference of many in the rich world via prospect_uk
69	403892923831291905	gta v heists demand increases pressure on rockstar  	0	0.0	0.0	0.0	gta v heist demand increase pressure on rockstar
71	405233809253089282	let your hope make you glad be patient in time if trouble and never stop praying 	0	0.0	0.0	0.0	let your hope make you glad be patient in time if trouble and never stop praying
72	405903081738469376	leafs played an average game pittsburghs mistakes lead to leafs goals penguins deserved the w	0	0.0	0.0	0.0	leaf play an average game pittsburghs mistake lead to leafs goal penguins deserve the w
73	409122595947020288	who is cindy starfall promote cindy starfall  another fan vote for cindystarfall -)	0	0.0	0.0	0.0	who be cindy starfall promote cindy starfall another fan vote for cindystarfall - )
74	411247736525434880	europa a moon of jupiter has a gigantic ocean beneath its icy surface which cracks and shoots water jets into space 	1	1.0	1.0	1.0	europa a moon of jupiter have a gigantic ocean beneath it icy surface which crack and shoot water jet into space
75	411681385623982080	 thousands rally to support fired bogota mayor some colombians believe petros dismissal could threaten onedirslaytion	0	0.0	0.0	0.0	thousand rally to support fired bogota mayor some colombian believe petros dismissal could threaten onedirslaytion
76	412650110460235776	isis supports wells fargo visa cards wells fargo & co and isis ® the mobile commerce joint venture created  	0	0.0	0.0	0.0	isi support well fargo visa card well fargo & co and isi ® the mobile commerce joint venture create
78	413527115230117888	a lucky find of a toe fossil unlocks a genetic encyclopedia for neanderthals 	1	1.0	1.0	1.0	a lucky find of a toe fossil unlock a genetic encyclopedia for neanderthal
79	416820259471892481	damn it! dragon go back to bed and stop breathing fire everywhere	0	0.0	0.0	0.0	damn it ! dragon go back to bed and stop breathing fire everywhere
80	416824906223869952	mishra_abhi media stop looking at caste identities & start looking at performance of mlasministersofficialspolicemen prasannavishy	0	0.0	0.0	0.0	mishra_abhi medium stop look at caste identity & start look at performance of mlasministersofficialspolicemen prasannavishy
81	417390745067462656	  rt if u support gay rights	0	0.0	0.0	0.0	rt if u support gay right
82	418044514138591232	goals for  are as follows ) stop ) drop ) shutem down ) open up shop	0	0.0	0.0	0.0	goal for be a follow ) stop ) drop ) shutem down ) open up shop
83	419031039776804864	hildersham villagers unite to stop pub closure southcambs roger_hickford 	0	0.0	0.0	0.0	hildersham villager unite to stop pub closure southcambs roger_hickford
84	419047430718373888	greenjournal study show this infection can increase risk of strokes and heart attacks 	1	1.0	1.0	1.0	greenjournal study show this infection can increase risk of stroke and heart attack
85	420227019985932289	looking for some fun science activities for the cold month ahead? january science calendar  hsscientist	0	0.0	0.0	0.0	look for some fun science activity for the cold month ahead ? january science calendar hsscientist
86	424003986866200576	ashu_  stop ur false propaganda 	0	0.0	0.0	0.0	ashu_ stop ur false propaganda
87	426482774065688576	microsoft says product demand remains high reports record $ billion revenue for fy q 	0	0.0	0.0	0.0	microsoft say product demand remain high report record $ billion revenue for fy q
88	426751675102011392	trekstock is being held in london not the la so stop spreading rumours -j	0	0.0	0.0	0.0	trekstock be be hold in london not the la so stop spreading rumour -j
89	427042365522870272	the dog will not stop fuckin snoring	0	0.0	0.0	0.0	the dog will not stop fuckin snore
90	427397314487914496	cesar stop a whole war is gonna break out with cheerleading	0	0.0	0.0	0.0	cesar stop a whole war be gon na break out with cheerlead
92	430147526222970881	 interesting characters non stop action and full of twists this is a great new thriller!  xvva	0	0.0	0.0	0.0	interest character non stop action and full of twist this be a great new thriller ! xvva
93	430698608137351168	law leads to guiltguilt leads to strugglestruggle leads to failurefailure leads to more guiltguilt leads to more sin + hopelessness!	1	1.0	0.0	0.0	law lead to guiltguilt lead to strugglestruggle lead to failurefailure lead to more guiltguilt lead to more sin + hopelessness !
94	431030192312967168	floral hall wedding fayre sunday mar rd - all proceeds on door to go to dougiemacstoke - please come along and support  	0	0.0	0.0	0.0	floral hall wedding fayre sunday mar rd - all proceeds on door to go to dougiemacstoke - please come along and support
95	431083759085969408	a noble cause dies  deaths til a heart is changed 	0	0.0	0.0	0.0	a noble cause die death til a heart be change
96	431321021186969600	the biology of belief unleashing the power of consciousness matter & miracles by bruce h lipton who is a scientist turned mystic	1	0.0	1.0	1.0	the biology of belief unleash the power of consciousness matter & miracle by bruce h lipton who be a scientist turn mystic
97	432580268667715584	omfs supposedly grown men will not stop talking about flappy bird in group chat has been the only topic of discussion today	0	0.0	0.0	0.0	omfs supposedly grow men will not stop talk about flappy bird in group chat have be the only topic of discussion today
98	435062684263141377	hey guess new twitter cause new phone so yea please lik direct tweet nd please follow thx luvs bii	0	0.0	0.0	0.0	hey guess new twitter cause new phone so yea please lik direct tweet nd please follow thx luvs bii
99	435574632641757184	cordelialogan exactly theres nothing in that link that causes text messages to be sent that just performs a follow	0	0.0	0.0	0.0	cordelialogan exactly theres nothing in that link that cause text message to be send that just perform a follow
100	436645794943225857	yep eating vegetarian today geez nprnews piglet smoothie fed to sows to prevent disease activists outraged 	0	0.0	0.0	0.0	yep eat vegetarian today geez nprnews piglet smoothie feed to sow to prevent disease activist outrage
101	437737194787061760	warning! bible reading can be habit forming and will cause loss of fear and anxiety side effects are joy love peace and contentment!	1	1.0	0.0	0.0	warn ! bible reading can be habit forming and will cause loss of fear and anxiety side effect be joy love peace and contentment !
102	438237164208279552	 research found improvement in sleep quality was linked w weight loss meaning a flatter stomach could mean better sleep	1	1.0	0.0	1.0	research find improvement in sleep quality be link w weight loss mean a flatter stomach could mean good sleep
105	440497667790360576	niggas jus need to live an stop the stressing	0	0.0	0.0	0.0	nigga jus need to live an stop the stressing
106	440536137744936960	north korea puts yorkshire terriers in zoo 	0	0.0	0.0	0.0	north korea put yorkshire terrier in zoo
107	440922374318211072	speakerboehner   is still in ur hands  will not stop the fight  drmaction 	0	0.0	0.0	0.0	speakerboehner be still in ur hand will not stop the fight drmaction
108	442142644257320960	what the new hiv breakthroughs mean for the future of the disease | healthy living - yahoo shine 	1	0.0	1.0	1.0	what the new hiv breakthrough mean for the future of the disease | healthy living - yahoo shine
109	442207643893903360	spice up your diet for greater fat loss 	1	1.0	1.0	1.0	spice up your diet for great fat loss
110	443314171921174529	retirement home laws ‘in need of review adammarshall reports in  	0	0.0	0.0	0.0	retirement home law ‘ in need of review adammarshall report in
111	443670754178379777	what will digital life look like in a decade? some predictions from the optimistic to mind control 	1	0.0	1.0	1.0	what will digital life look like in a decade ? some prediction from the optimistic to mind control
112	444915993132142592	nma small step for man quantum leap for particle kind!  &  	1	0.0	1.0	1.0	nma small step for man quantum leap for particle kind ! &
113	445991077552865281	determination leads to success best day of my life 	1	1.0	0.0	0.0	determination lead to success best day of my life
114	446121717560115200	blonde girl starts to masturbate leads to a quick fuck      	0	0.0	0.0	0.0	blonde girl start to masturbate lead to a quick fuck
115	446486621999726594	 we specialise in providing the modular ground study courses required to convert your icao professional	0	0.0	0.0	0.0	we specialise in provide the modular ground study course require to convert your icao professional
116	446689236226670592	more great printing work by instantprint helping us launch our new brand identity 	0	0.0	0.0	0.0	more great printing work by instantprint help u launch our new brand identity
117	451954996158820352	tasha_unicorns deep has got to stop being so deep	0	0.0	0.0	0.0	tasha_unicorns deep have get to stop be so deep
118	453229267673812993	cant find the alien exercise	0	0.0	0.0	0.0	cant find the alien exercise
119	453731216789737474	the underground just dont stop for hoes 😂✋💃	0	0.0	0.0	0.0	the underground just dont stop for hoe 😂✋💃
120	455624643052056576	neurobiological bases of abnormal aggression and violent behaviour 	1	0.0	1.0	1.0	neurobiological base of abnormal aggression and violent behaviour
121	456139274162028544	a raise to $ million would have placed martins salary no higher than eighth in the sec	0	0.0	0.0	0.0	a raise to $ million would have place martin salary no high than eighth in the sec
122	458622450537074688	dark skin may be a protector against cancer 	1	1.0	0.0	0.0	dark skin may be a protector against cancer
123	461347905081597952	missouri senate passes sales tax increase for roads breakingnews kansascity 	0	0.0	0.0	0.0	missouri senate pass sale tax increase for road breakingnews kansascity
124	461827109309399040	leed-certified buildings are often less energy-efficient than un-certified ones 	1	1.0	0.0	1.0	leed-certified building be often less energy-efficient than un-certified one
125	464203433394716672	job  durham nc - sr network security engineer - support network based security infrastructure to provide sec 	0	0.0	0.0	0.0	job durham nc - sr network security engineer - support network base security infrastructure to provide sec
126	464442462573170688	may special - sign up for $ ($ savings) need more money? love candles? work from home selling 	0	0.0	0.0	0.0	may special - sign up for $ ( $ saving ) need more money ? love candle ? work from home selling
127	464497496056946688	i hate people take good pics of zayn and stop taking so many of grease ball	0	0.0	0.0	0.0	i hate people take good pic of zayn and stop take so many of grease ball
128	464540328293584896	unbelievable day at  today so many people saying the same thing no one else is doing that stop by friday learn what that is!	0	0.0	0.0	0.0	unbelievable day at today so many people say the same thing no one else be do that stop by friday learn what that be !
129	464696255738703872	 surprising ways social media is affecting healthcare ~ social media frontiers 	1	1.0	0.0	0.0	surprising way social medium be affect healthcare ~ social medium frontier
130	465928890381500417	barsandmelody song has basically started a trend to stop bullying💖 	0	0.0	0.0	0.0	barsandmelody song have basically start a trend to stop bullying💖
131	466216322750091264	  sees significant increase of armed  presence on streets 	1	1.0	0.0	0.0	see significant increase of armed presence on street
132	466468978333061120	photos san diego wildfires lead to evacuation of  homes - washington post 	0	0.0	0.0	0.0	photo san diego wildfire lead to evacuation of home - washington post
133	466592730802429952	uk population is eating too much sugar saturated fat and salt 	1	1.0	1.0	1.0	uk population be eat too much sugar saturate fat and salt
134	467006461605081088	even superman had to get a job moral of this story is stop saving everyone for free  	0	0.0	0.0	0.0	even superman have to get a job moral of this story be stop save everyone for free
135	469874033035837440	dwatsonx desoto need to stop spending money on they football team who cant win state & fix these bathrooms💀💀💀💀	0	0.0	0.0	0.0	dwatsonx desoto need to stop spending money on they football team who cant win state & fix these bathrooms💀💀💀💀
136	470338351090778112	selector infected wixoss causes sharp decline in card sales 	0	0.0	0.0	0.0	selector infect wixoss cause sharp decline in card sale
137	471667239288991744	dont miss the june  vruc  &  meeting delivering better requirements via expert systems -  	0	0.0	0.0	0.0	dont miss the june vruc & meeting delivering better requirement via expert system -
138	473924366242021376	senatorparker new york state must not set a precedent of passing laws that support quackery heres a great post 	1	0.0	1.0	1.0	senatorparker new york state must not set a precedent of pass law that support quackery heres a great post
139	474967888109899776	kingvegeta_ joiko_saiyan  supports this with immense description	0	0.0	0.0	0.0	kingvegeta_ joiko_saiyan support this with immense description
140	476878532141137920	polygamisogynist (n) one of the peaceful & tolerant who has more than one wife to treat in an unkind and unequalitarian manner	0	0.0	0.0	0.0	polygamisogynist ( n ) one of the peaceful & tolerant who have more than one wife to treat in an unkind and unequalitarian manner
141	477571422391656448	soccer? whats that? twitter promotes one sport?	0	0.0	0.0	0.0	soccer ? whats that ? twitter promote one sport ?
142	480400493253259264	honestly i wont be surprised if iran win upsets are a theme this world cup	0	0.0	0.0	0.0	honestly i wont be surprise if iran win upset be a theme this world cup
143	481343104364969984	the weight loss plateau causes and solutions for this frustrating problem  htt  	0	0.0	0.0	0.0	the weight loss plateau cause and solution for this frustrating problem htt
144	482893912239898624	people who are jealous automatically call whoever justins associated with a hoe or a thot like stop	0	0.0	0.0	0.0	people who be jealous automatically call whoever justins associate with a hoe or a thot like stop
145	483587157677064192	the who what when where and why of the bloombergcities & nesta_uk  research   	1	0.0	0.0	1.0	the who what when where and why of the bloombergcities & nesta_uk research
146	484512446313271298	birthday dinner - a biscuit & a rice krispie treat courtesy of ali_harlan solid twenty minutes at home between tumbling & church😉 	0	0.0	0.0	0.0	birthday dinner - a biscuit & a rice krispie treat courtesy of ali_harlan solid twenty minute at home between tumble & church😉
147	484710692357156864	smoking cigarettes are a turn off 😷	0	0.0	0.0	0.0	smoking cigarette be a turn off 😷
148	484910242463891457	came to a bus stop to watch the fireworks 😂	0	0.0	0.0	0.0	come to a bus stop to watch the firework 😂
149	485168452219314177	people gotta stop a the international shirts today and start wearing american shirts -- 🇺🇸 	0	0.0	0.0	0.0	people get ta stop a the international shirt today and start wear american shirt -- 🇺🇸
150	486396678669598720	learn from yesterday live for today hope for tomorrow the important thing is not to stop questioning - albert einstein	0	0.0	0.0	0.0	learn from yesterday live for today hope for tomorrow the important thing be not to stop question - albert einstein
152	486735419053060096	shall we pray before we eat? (note this is what scholars call a rhetorical question) 	0	0.0	0.0	0.0	shall we pray before we eat ? ( note this be what scholars call a rhetorical question )
153	487505910097395713	truuu lilbodyjas mixed signals are a bitch lol	0	0.0	0.0	0.0	truuu lilbodyjas mixed signal be a bitch lol
154	488042032825663488	🇺🇸 cbs census data show us doesnt have shortage of stem workers  	1	1.0	1.0	1.0	🇺🇸 cbs census data show u doesnt have shortage of stem worker
155	488380082637910016	leeezy__ ladies stop with the knee high gladiator sandalspls	0	0.0	0.0	0.0	leeezy__ lady stop with the knee high gladiator sandalspls
156	488482672965341184	miscarriage_hlp bla_campaign please help support this movie based on the true story of the writer  	0	0.0	0.0	0.0	miscarriage_hlp bla_campaign please help support this movie base on the true story of the writer
157	488514739241504768	these birds wont stop cherping!	0	0.0	0.0	0.0	these bird wont stop cherping !
158	489011101586038784	bruciebabe willardfoxton doxievee nicksb richardcalhoun same people who believe statistics are a science	0	0.0	0.0	0.0	bruciebabe willardfoxton doxievee nicksb richardcalhoun same people who believe statistic be a science
159	490480937759932416	the head coach surveys the scene at heritage park 	0	0.0	0.0	0.0	the head coach survey the scene at heritage park
160	490727800832151552	adversity causes some men to break others to break records	1	1.0	0.0	0.0	adversity cause some men to break others to break record
161	491594818464657410	disabled vehicle center lane blocked in on rt  nb after ex  - rt  stop and go traffic from ex  - rt  delay of  mins 	0	0.0	0.0	0.0	disabled vehicle center lane block in on rt nb after ex - rt stop and go traffic from ex - rt delay of min
162	493121404897095680	 israelis protesting against  calling on israeli government to stop the attack 	0	0.0	0.0	0.0	israeli protest against call on israeli government to stop the attack
163	493202938840367105	by this magic little who grant every wish cause in reality	0	0.0	0.0	0.0	by this magic little who grant every wish cause in reality
164	493775214762000384	roxorganisation proud to be associated with rox! well organised professionally run oh and great hospitality thanks to all	0	0.0	0.0	0.0	roxorganisation proud to be associate with rox ! well organise professionally run oh and great hospitality thanks to all
165	494471416562327552	make sure you get down to my mate timcroninmusics gig tomorrow! raising money for an amazing cause too for_luca 	0	0.0	0.0	0.0	make sure you get down to my mate timcroninmusics gig tomorrow ! raise money for an amazing cause too for_luca
167	496025919849758720	environmental lawyers are a real thing? i thought it was a fictional occupation created by himym_cbs & jasonsegel 	0	0.0	0.0	0.0	environmental lawyer be a real thing ? i think it be a fictional occupation create by himym_cbs & jasonsegel
168	496661452892430336	us attorneydea to announce results of invest into the distribution of performance enhancing drugs to minorsathletes at  in miami	0	0.0	0.0	0.0	u attorneydea to announce result of invest into the distribution of performance enhance drug to minorsathletes at in miami
169	496878982545952769	opticempire also  reports it is down	0	0.0	0.0	0.0	opticempire also report it be down
170	496963334198292480	take aspirin every day for  years and cut your chance of bowelstomach cancer but increase your chance of a stroke or internal bleeding	1	1.0	0.0	0.0	take aspirin every day for year and cut your chance of bowelstomach cancer but increase your chance of a stroke or internal bleeding
171	497168934798630913	jomonery lynseybarry jennytandy lovely night again ladies! gotta stop the espresso martinis though!	0	0.0	0.0	0.0	jomonery lynseybarry jennytandy lovely night again ladies ! get ta stop the espresso martini though !
172	498266865157025792	 rat tumors  example	0	0.0	0.0	0.0	rat tumor example
174	499772888715894784	all probably from a flea color this throwing ups gotta stop at some point right 😧	0	0.0	0.0	0.0	all probably from a flea color this throw ups get ta stop at some point right 😧
175	501656858562928640	mindipuopeters in the process of finalizing the scholar trans policy to address safety of learners to school	0	0.0	0.0	0.0	mindipuopeters in the process of finalize the scholar trans policy to address safety of learner to school
176	503669627851780096	a new study suggests that marijuana increases positivity and reduces the negativity in emotional processing	1	1.0	0.0	1.0	a new study suggest that marijuana increase positivity and reduce the negativity in emotional processing
177	504475144799399936	overthinking leads to negative thoughts	1	1.0	0.0	0.0	overthinking lead to negative thought
178	504923849348378625	furthermore drinking more water alone actually aids in losing weight	1	1.0	0.0	0.0	furthermore drink more water alone actually aid in lose weight
179	505360614370586626	desperate climate scam scientists explain away record high antarctic sea ice extent as being caused by global warming 	1	1.0	1.0	1.0	desperate climate scam scientist explain away record high antarctic sea ice extent a be cause by global warming
180	506084376719798272	tune into dawn news to hear some great expert analysis by zafar hilali	0	0.0	0.0	0.0	tune into dawn news to hear some great expert analysis by zafar hilali
181	506788560456798208	the nytimes couldnt have picked worse ex than bielema at ark to support research that cfb coaches arent overpaid 	0	0.0	0.0	0.0	the nytimes couldnt have pick bad ex than bielema at ark to support research that cfb coach arent overpaid
182	509058030869413888	what is the aggregate economic rate of return to foreign  | channing arndt sam jones and finn tarp wider 	1	1.0	1.0	1.0	what be the aggregate economic rate of return to foreign | channing arndt sam jones and finn tarp wider
183	509873947156807680	concussion breathalyser proposed  published september   at am	1	0.0	1.0	1.0	concussion breathalyser propose publish september at be
184	509990351696695296	next profits up on economic revival next reports a strong rise in half-year profits as higher house prices an 	0	0.0	0.0	0.0	next profit up on economic revival next report a strong rise in half-year profit a high house price an
186	512605990953697280	this  article describes an intervention program aimed at reducing late life depression symptom…bufflytwwwz	1	0.0	1.0	1.0	this article describe an intervention program aim at reduce late life depression symptom…bufflytwwwz
187	513248243770482688	children of fallen soldiers relief supports surviving us military children visit &     	0	0.0	0.0	0.0	child of fall soldier relief support survive u military child visit &
188	513800792990441473	all thats cosplay video interview atcs femme fatale nicole salera! see the video interview at… 	0	0.0	0.0	0.0	all thats cosplay video interview atcs femme fatale nicole salera ! see the video interview at…
190	514933598982389760	also cancer is virtually incurable bc all cancers are different )	1	1.0	0.0	0.0	also cancer be virtually incurable bc all cancer be different )
191	515516909253853184	check out this overview of encouraging  study from the book loaded with benefits at   	0	0.0	0.0	0.0	check out this overview of encourage study from the book load with benefit at
192	515861475529728000	mark research itid say they fired a missle into the center of that scar so it appeared as if the plane exploded theremetal pieces?missle	0	0.0	0.0	0.0	mark research itid say they fire a missle into the center of that scar so it appear a if the plane explode theremetal piece ? missle
193	516646497228947456	students need to support this team these are your peers exceeding expectations and quieting the doubters they deserve your presence	0	0.0	0.0	0.0	student need to support this team these be your peer exceed expectation and quiet the doubter they deserve your presence
