Unnamed: 0,tweet_id,text,science_related,scientific_claim,scientific_reference,scientific_context
96,431321021186969600,"The Biology of Belief: Unleashing the Power of Consciousness, Matter, & Miracles by Bruce H. Lipton, who is a scientist turned mystic.",1,0.0,1.0,1.0
101,437737194787061760,"WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!",1,1.0,0.0,0.0
102,438237164208279552,"#TRAINhealth Research found improvement in sleep quality was linked w/ weight loss, meaning a flatter stomach could mean better sleep",1,1.0,0.0,1.0
108,442142644257320960,What the New HIV Breakthroughs Mean for the Future of the Disease | Healthy Living - Yahoo Shine http://t.co/f1qN57RHHO,1,0.0,1.0,1.0
109,442207643893903360,Spice up your diet for greater fat loss: http://t.co/la5L94hm8p,1,1.0,1.0,1.0
111,443670754178379777,"What will digital life look like in a decade? Some predictions, from the optimistic to mind control http://t.co/q4F7Bice83",1,0.0,1.0,1.0
112,444915993132142592,"@nma08244 Small step for man, quantum leap for particle kind! http://t.co/aVhtJyxr1Y & http://t.co/YTULs3Xoc6 http://t.co/iXTn0CjehM",1,0.0,1.0,1.0
113,445991077552865281,Determination leads to Success. Best day of my life #nowplaying,1,1.0,0.0,0.0
120,455624643052056576,Neurobiological Bases of Abnormal Aggression and Violent Behaviour http://t.co/NWDSQy95AT,1,0.0,1.0,1.0
122,458622450537074688,Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz,1,1.0,0.0,0.0
124,461827109309399040,LEED-certified buildings are often less energy-efficient than un-certified ones: http://t.co/DXj3ez07x7,1,1.0,0.0,1.0
129,464696255738703872,5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5,1,1.0,0.0,0.0
131,466216322750091264,"#Beijing, #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08",1,1.0,0.0,0.0
133,466592730802429952,"UK population is eating too much sugar, saturated fat and salt https://t.co/jqqJ8TBWGI",1,1.0,1.0,1.0
138,473924366242021376,@SenatorParker New York State must not set a precedent of passing laws that support quackery. Here's a great post: http://t.co/atM6hdDzMq,1,0.0,1.0,1.0
145,483587157677064192,"The who, what, when, where, and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector",1,0.0,0.0,1.0
154,488042032825663488,🇺🇸 CBS: Census Data Show U.S. Doesn't Have Shortage of STEM Workers http://t.co/bhPpXhGcYI #WIUNION,1,1.0,1.0,1.0
160,490727800832151552,Adversity causes some men to break; others to break records.,1,1.0,0.0,0.0
170,496963334198292480,"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding.""",1,1.0,0.0,0.0
176,503669627851780096,A new study suggests that marijuana increases positivity and reduces the negativity in emotional processing.,1,1.0,0.0,1.0
177,504475144799399936,Overthinking leads to negative thoughts.,1,1.0,0.0,0.0
178,504923849348378625,"Furthermore, drinking more water alone actually aids in losing weight.",1,1.0,0.0,0.0
179,505360614370586626,Desperate climate scam scientists explain away record high Antarctic sea ice extent as being caused by global warming http://t.co/WyqS6AzLIY,1,1.0,1.0,1.0
182,509058030869413888,"What is the aggregate economic rate of return to foreign #aid? | Channing Arndt, Sam Jones, and Finn Tarp, WIDER http://t.co/xAikUtglDp",1,1.0,1.0,1.0
183,509873947156807680,"Concussion 'breathalyser' proposed http://t.co/n7T5NeBAdV Published September 11, 2014 at 01:46AM",1,0.0,1.0,1.0
186,512605990953697280,This #ImplementationScience article describes an intervention program aimed at reducing late life depression symptom…/buff.ly/1tWWwz9,1,0.0,1.0,1.0
190,514933598982389760,also cancer is virtually incurable bc all cancers are different :),1,1.0,0.0,0.0
200,521767676302356480,Is Ebola a health care system mishap?,1,1.0,0.0,0.0
208,527823873799385088,Lupus Research Institute Awards $1-Million Grants to Discover What Causes Lupus http://t.co/aXopNmLyI7,1,0.0,0.0,1.0
210,531600924217999361,Did you know that what you eat can affect your productivity level? http://t.co/oiCH1IuAVO,1,1.0,1.0,1.0
214,534563454095728640,Perfect teeth are a turn on,1,1.0,0.0,0.0
215,534584777257390081,"A fifth of US high school students use tobacco, finds survey http://t.co/CDEj38byNb",1,1.0,1.0,1.0
217,535871782910459904,Excessive drinking for women: 4 drinks on one occasion.. OEI!! Most Heavy Drinkers Are Not Alcoholics http://t.co/7pBOCFTpr8,1,1.0,1.0,1.0
220,544215268353134595,"Hearingloss occurs gradually with age, but could #Diabetes play a role?http://t.co/irLwmmbzxB http://t.co/4N0hqex5U1 RT",1,1.0,0.0,1.0
228,551868891665022977,Climate Change will Cause Irreversible Impacts If Action is Not Taken: IPCC ... - Nature World News http://t.co/2B9P2oZ3zG,1,1.0,1.0,1.0
239,559050705374154752,".@Oprah Nuclear weapons are a real, deadly problem that entire popul. of world must deal with http://t.co/6SEM76ud2c #SaveFukuChildren",1,1.0,0.0,0.0
242,560029371470471168,"The macroeconomic impact of micro-interventions is an important reason why poverty has persisted, despite ... http://t.co/GWfKI78PcY",1,1.0,0.0,0.0
244,562411971963015168,"Big Data, Big Obstacles: Towards a social science of #bigdata. TY @daltonconley et al. http://t.co/6nP0fiAz1j … @data_society",1,0.0,1.0,1.0
248,567527141903187968,Why Depression Is Underreported In Men http://t.co/wjMzvnOegD,1,1.0,1.0,1.0
252,568800068360282112,The House science committee anti-NSF witch hunt is now demanding information on grants in the physical sciences. http://t.co/2tfH4XUeLk,1,0.0,0.0,1.0
253,570597474072727552,Coping with levels of explanation in the behavioral sciences https://t.co/C2p0fms0iw,1,0.0,1.0,1.0
254,572172464580517889,Check out B HEALING STONE & MAGNET PILLOW (THERPIC)HELPS STOP PAIN IN THE BODY http://t.co/3V9oG2aeHV via @eBay,1,1.0,0.0,0.0
255,573496486501154816,Diabetes Research and New Registry Aim to Improve Outcomes http://t.co/7bHFBRepxv #NCDR,1,0.0,1.0,1.0
257,575080590958964736,"Psychedelic drug use could reduce psychological distress, suicidal thinking #science http://t.co/Ft1kMPSZaC http://t.co/0VFGsmv3d6",1,1.0,1.0,1.0
259,576144390755786753,"Cassini confirms hydrothermal activity in ocean on Saturn's moon: Brooks HaysWASHINGTON, March 12 (UPI) -- NAS... http://t.co/JfyHeHtLCP",1,1.0,1.0,1.0
261,577264538376151040,"People with sight loss can face at least 25% higher costs for everyday living, says new study http://t.co/c7wfVnwQ1Y",1,1.0,1.0,1.0
263,578540328224845824,"via @medical_xpress A new in vitro (test tube) study, ""Dietary functional benefits of Bartlet... http://t.co/Qv1C1GjQin #UFO4UBlogHealth",1,0.0,1.0,1.0
266,580972622399291392,European Union and Turkey in the Post Arab Spring Era: Mapping Strategic Interests in the Turbulent Neighborhood: http://t.co/sKWSmSL9QI,1,0.0,1.0,1.0
269,586476458907959296,Companies report 48% increase in attempted cyber security breaches http://t.co/wUdCJb7y8v #DGInsights #cybersecurity http://t.co/a38n3hZg70,1,1.0,0.0,0.0
270,586896526837972992,"Study: Shifts in electricity generation spur net job growth, but coal jobs decline - via @DukeU http://t.co/AXGmKUPata",1,1.0,1.0,1.0
274,589534492395704320,coumadin decreased sex drive men http://t.co/zfRNn4MMc6,1,1.0,0.0,0.0
280,596312357640474624,Can organic feed the world? http://t.co/8YJnht4Fi7,1,1.0,1.0,1.0
281,597534145808605184,"More Sex Doesn’t Lead To More Happiness, Reveals New Study. Surprised? – Tech Times http://t.co/jtKodFKWmV",1,1.0,0.0,0.0
283,599179022552145920,"3mo after #DressGate, 3 research teams explore the science behind the #blueandblack / #whiteandgold dress http://t.co/7FwbJg0RpG @nytimes",1,0.0,1.0,1.0
286,601024654765985792,#MSGDonated4Million to support the research of Thalassemia & AIDS cure,1,0.0,0.0,1.0
289,602178954267525122,"#PhysicalActivity is imp at every age, esp bc it can help strengthen bones & muscles & prevent falls. #ActiveAgeing http://t.co/B7gXec7gCG",1,1.0,0.0,0.0
291,605701936592109568,'Virgin-born' sawfish are a first in the wild http://t.co/Y2FfBiJtCe http://t.co/IWS4Cpp2au,1,1.0,1.0,1.0
296,610995064030953472,Beauty Tips : Blood Sugar Support Cardiovascular Health Dietary Supplement (6 Bottles) http://t.co/bp6W50L2yX #892,1,1.0,0.0,0.0
298,611615660393799680,"Near-fasting for 5 days a month reduces body fat, study finds (w/link): http://t.co/aTs1ZzTJKZ http://t.co/hhZDyVEPCy",1,1.0,1.0,1.0
299,614254522320334852,Treatment of #MetastaticColorectalCancer: focus on #panitumumab: http://t.co/COfHoJfk63 http://t.co/rmP7WnSmMy,1,0.0,1.0,1.0
306,617298758997381120,Pain changes people,1,1.0,0.0,0.0
308,618440645691113473,The earth sciences examine the structure and composition of our planet http://t.co/jMUTEs8dUv,1,1.0,0.0,1.0
310,621383456921141252,"The carbon footprint of a glass of milk has shrunk by 2/3 in the last 50 years due to improved health, nutrition, and genetics #JAM2015",1,1.0,0.0,0.0
322,626275995646062592,#Deals : New Improved Unique Color Therapy Lamps Light Promotes Wellness Health http://t.co/NJTKhFgizu #Beauty … http://t.co/u65daPcbA6,1,1.0,0.0,0.0
325,628264846497292288,"""The brain is extraordinarily good at alerting us to threats"". http://t.co/mfqFaO0Wpn",1,1.0,1.0,1.0
326,628611128260608000,Why might women feel temperature differently to men?: Why might women feel temperature differently to men? http://t.co/vXGjFO55aw,1,1.0,1.0,1.0
329,631725730326552576,"Weed: Good for the Bones? YES! by Stephanie Pappas, Live Science Contributor http://t.co/L4pERvnmmo http://t.co/pPBGZwZLBG",1,1.0,1.0,1.0
330,631828683704172545,Farting helps reduce high blood pressure and is good for your health. Isn’t it funny and healthy?  http://t.co/aiAnQvFfiW #physio #herts,1,1.0,0.0,0.0
334,635545969057222656,#ClimateChange & rising temps increase #health #risks in several ways: http://t.co/k83V1EJCHU #climateaction http://t.co/MOzNKxzGmS,1,1.0,1.0,1.0
341,647419303193501699,Understanding public perceptions of risk regarding outdoor pet cats to inform #conservation action: #AcceptedArticle http://t.co/l5F4yfEVs6,1,0.0,1.0,1.0
344,650847249174433793,"The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.",1,1.0,0.0,0.0
347,653391282455232513,"High school does, in fact ,change people.",1,1.0,0.0,0.0
355,660967121766125568,#EurekaMag Development of monozoic forms of Echinococcus granulosus during in vitro culture https://t.co/vJ0jFgS586,1,0.0,1.0,1.0
357,661310677206855680,George #Boole Boolean logic inventor b OTD 1815: his Cork plaque https://t.co/y20LI0xGyQ #Boole200 @georgeboole200 https://t.co/3Ufu08KrrW,1,0.0,0.0,1.0
358,662067619055341569,#EurekaMag Culture of Schistosoma haematobium and the effects of immune sera in vitro https://t.co/fBCbuazCgI,1,0.0,1.0,1.0
360,662527981668007936,#EurekaMag Consumption and fate of aflatoxin B1 by lactating cows https://t.co/uhkkIHRBkN,1,0.0,1.0,1.0
368,666597421250580480,PTSD Twice As Likely For... https://t.co/zjwenFdkb2 #conscioushealthsolutions #health,1,0.0,1.0,1.0
370,668789221910441984,Study finds less than 6% of Earth's modern groundwater is renewable within a human lifetime -- Earth Changes -- https://t.co/bAXoUJvjW4,1,1.0,1.0,1.0
374,673022776182112257,The low sun angle and the reflective surface of the fresh snow slowing the melting process of the snowpack #ndwx https://t.co/tIG2TYSw91,1,1.0,0.0,0.0
376,674730542529687552,How will #climatechange affect food security? https://t.co/Ns7eyq9Pn5 #COP21 https://t.co/eleF4SDNdM,1,1.0,1.0,1.0
379,676125881681727488,"VIDEO: Dr. Keith Flaherty talks about the genetics of cancer, #targetedtherapy, #clinicaltrials, precision medicine https://t.co/oFjd4YEEZe",1,0.0,0.0,1.0
382,679003730923122688,"Speaking of galaxies, the Milky Way is now visible in @ESA/@NASA SOHO/LASCO images https://t.co/4iHU09D3yg https://t.co/WQXD6DUtvR",1,1.0,1.0,1.0
383,679303205356965888,"mActive study uses personalized texts, pedometers, and smartphones to increase physical activity https://t.co/PuAQlBvECi #activitytracker …",1,1.0,1.0,1.0
387,683181686679552001,PROOF That Gun Bans Increase Murder Rates https://t.co/ogYX8lB3xN... https://t.co/Fcq5UNTRhH|mM,1,1.0,0.0,0.0
389,683858206930505728,"#EurekaMag Thirteenth Swedish Weed Conference, 1972 https://t.co/tSYYKvd2Sj",1,0.0,1.0,1.0
390,684046522799894529,#EurekaMag Thematic roles in aphasia Conceptual knowledge and linguistic assignment https://t.co/10js6q7W2d,1,0.0,1.0,1.0
391,684857088103727104,Bayes Theorem:What's the big deal? https://t.co/C1maXnHEUN https://t.co/XTHSiSjzHY,1,0.0,1.0,1.0
392,685064182602018816,Upright positions in the first stage of labour reduces the duration of labour and the risk of C-section https://t.co/Xua1F6CqUz,1,1.0,1.0,1.0
393,685152147202293760,"Hard work NEVER fails, start working, stop complaining. If you work for it, you'll appreciate it! 💯",1,1.0,0.0,0.0
394,685469159430336512,#EurekaMag The eclosion hormone its release by the brain and its action on the central nervous system of silk moths https://t.co/KxuniG4ewC,1,1.0,1.0,1.0
395,685644296754565120,#EurekaMag Cucumber mosaic virus-associated RNA 5 II. in vitro translation in a wheat germ protein-synthesis system https://t.co/A6WamUnKXP,1,0.0,1.0,1.0
396,686166231758442496,"#Severe fibromyalgia symptoms linked to obesity, weight gain - https://t.co/NZG7iqYpas https://t.co/rnTKnmhL2V",1,1.0,0.0,0.0
397,686914667562704896,#EurekaMag Chromosome relationships between Lolium and Festuca (Gramineae) https://t.co/cDdkYLazpP,1,0.0,1.0,1.0
398,688865694222401537,#EurekaMag Binding of vitamin B12-rat transcobalamin II and free vitamin B12 to plasma membranes isolated from rat… https://t.co/LFEIM7JaJB,1,0.0,1.0,1.0
402,689938236442087424,Did you know that #HighBloodPressure causes #ErectileDysfunction? #menshealth https://t.co/uCUE9RKgUO https://t.co/nkrP6hsLMl,1,1.0,0.0,0.0
403,690681618109870082,#EurekaMag Influence of dietary protein on susceptibility to alert downer syndrome https://t.co/WbFOCqvmY9,1,1.0,1.0,1.0
405,691530977256943616,#EurekaMag In vitro translation of the long-lived messenger ribonucleic acid of dry seeds https://t.co/hwyHPiOoV8,1,0.0,1.0,1.0
410,697437874304581633,Interesting work being done in Boston to identify the ways cancers develop: https://t.co/b09uqZ2dJ1. #beatcancer #melanoma,1,0.0,1.0,1.0
414,699396541967134721,A good pass often leads to a good shot. The extra pass often leads to a great shot. #Selfless #Assist,1,1.0,0.0,0.0
416,704232939643662337,We've all got an extra day! What'll you do with yours? Why not read Susheila Nasta's intro to our latest issue: https://t.co/xcK5UawcNH,1,0.0,1.0,1.0
417,704433912022331392,"are putting survivors’ lives and health at risk,” says the report, Return to Abuser https://t.co/KZapTjeRNx",1,0.0,1.0,1.0
419,704636168210673665,Proper preparation prevents poor performance,1,1.0,0.0,0.0
420,705329755093135360,Magnetic resonance imaging findings in giant cell arteritis https://t.co/OsXoRZ7Jbq #oftalmologia,1,0.0,1.0,1.0
425,707972018344431616,Brexit: the implications for life sciences https://t.co/9U7iNYwouw,1,0.0,0.0,1.0
426,708337071069462529,"Strawberries May Help Prevent Type 2 Diabetes, Says Study https://t.co/sUBh7GEGCV",1,1.0,1.0,1.0
429,710072387220475904,CGA for the non-specialist https://t.co/YJ5vkn7QE1 from @JohnGladman1 @adamgordon1978 #rcpeCoE16,1,0.0,1.0,1.0
431,710962814018568193,How is @UChicagoIME shaping the future of science? Find out on April 6: https://t.co/bUwFwv58SO https://t.co/tLCunXaU4n,1,0.0,0.0,1.0
432,712280970926415872,Mechanism of Metformin: A Tale of Two Sites (Free) https://t.co/QBiMMqPIQt,1,0.0,1.0,1.0
433,712710761240350720,Violence is a leading cause of death for Americans 10-24 yrs old. @NICHD_NIH research on youth violence prevention https://t.co/9ZD58zGUhI,1,1.0,1.0,1.0
435,714752339819757568,In @sciencemagazine: Rare variant found that raises HDL cholesterol and increases risk of coronary heart disease: https://t.co/4xpL3KlGy9,1,1.0,1.0,1.0
437,715051441631547392,Going vegetarian 'could save lives and the planet' https://t.co/gOabJw79hw,1,1.0,1.0,1.0
438,715088923232317440,Nanotechnology the new weapon in fighting cancer? https://t.co/KsP8rk4THD,1,1.0,1.0,1.0
442,718177685701332992,"Did someone ask for a giant, bone-crushing weasel relative? (extinct, thankfully!) https://t.co/bTEMhBJVfd @PLOSONE https://t.co/gMq7iz9tgZ",1,0.0,1.0,1.0
443,718529188525961216,How Employment Can Change the Life of Someone with a Disability https://t.co/VxAtaX7qi5,1,1.0,0.0,0.0
445,724305652646961152,Benefits of music: - Stress relief - Boost immunity - Reduce heart disease - Enhances emotional strength - Boost self esteem,1,1.0,0.0,0.0
448,724947320211648512,Volume Caps Pills Male Sex Enhancement Increase Semen Massive Load More Libido - Bid Now! … https://t.co/hV5lrIMrSc https://t.co/bUwQvoOKV4,1,1.0,0.0,0.0
449,724974398617214976,Despite their small brains ravens and crows are just as clever as chimps https://t.co/yr8EVMRaLE,1,1.0,1.0,1.0
455,730415702281170944,Highway noise deters communication between birds https://t.co/dB9He0XZhk,1,1.0,1.0,1.0
456,730683743388766208,"Women should not be worried men doing the same job are higher paid, according to this report | via @telegraphnews https://t.co/wEal6Ptv7O",1,1.0,1.0,1.0
460,732630765050204160,"According to one study, men feel a decrease in sexual attraction from the scent of tears.",1,1.0,0.0,1.0
465,736750226510389248,"The Strange, Familiar, and Forgotten — fascinating read on consciousness, memory, and how our sense of self arises https://t.co/McMTtLOe6m",1,0.0,1.0,1.0
472,739700826453741568,#Renewableenergy surges to record levels around the world https://t.co/3Rc7DEHFFt https://t.co/LulCqDi8DS,1,1.0,1.0,1.0
476,742368248600002560,"The War On Science: What It Is And How To Win It [Greg Laden's Blog]: Thinker, writer, and ind... https://t.co/n0R0dmssXQ #Science #nTLD",1,0.0,0.0,1.0
479,742975214720552961,Topical application of antiretroviral drug combination prevents transmission of (S)HIV https://t.co/n5ii2xLwTB https://t.co/CBGbo4RyvV,1,1.0,1.0,1.0
483,746095998754136064,How one state is becoming a leader in managing revenue volatility: https://t.co/rJ9qbNo6HB https://t.co/hgbaqkMQOO,1,0.0,1.0,1.0
493,755347804311072768,Q: Is there a connection between shellfish allergies and iodine? - Wilderness Medical Associates International https://t.co/4TM0FP7GQb,1,1.0,0.0,0.0
498,759596994008641536,Adverse #Effects #Of #Marijuana #Cannabis #Seeds #Sale #How #To #Grow #Cannabis #Indoors https://t.co/F2rvT9UTS0,1,1.0,0.0,0.0
499,763136159472087040,The Incredible Brain Of Simone Biles https://t.co/wfjMKUB7pE https://t.co/H2Z4YEPmEL https://t.co/cFzPASgtDU,1,0.0,1.0,1.0
500,764815992199475200,How SARS in China helped ramp up the US medical intelligence program https://t.co/Oc5dst8xYq,1,1.0,0.0,1.0
502,764986742118113281,Reading facebook comments for 20 minutes is scientifically proven to drop your IQ by more than 52%.,1,1.0,0.0,0.0
503,769465842278866944,"Change is essential for growth, but if we’re not under leadership of Holy Spirit, what will we become? https://t.co/9YvxyLUKXV",1,1.0,0.0,0.0
506,771040787572387841,This technology will stop snoring forever! https://t.co/5UMpF8n4bH,1,1.0,0.0,0.0
511,773851222902206465,Danish data and fantastic Australian collaborators to look at traumatic versus non-traumatic neck pain https://t.co/fwPcSyUdPC,1,0.0,1.0,1.0
527,783684869314400256,Cooling Therapy Might Not Help All Cardiac Arrest Patients https://t.co/4oNE2klZne,1,1.0,0.0,0.0
530,785285499598544896,Empowering peace: service provision and state legitimacy in #Nepal’s peace-building process https://t.co/V9D27wEMTD https://t.co/N1M2WNSIhh,1,0.0,1.0,1.0
542,789744902741561345,Matt Ridley: Climate policy is doing more harm than good https://t.co/L1MNlzi56d,1,1.0,0.0,0.0
547,795078113868783616,The number of lies told by men would decrease significantly if women stopped asking questions,1,1.0,0.0,0.0
548,795710160933126144,#Sepsis is a complication of infection that can be deadly. @ElanaGlow reports more here: https://t.co/f7NQDpBd0S via @medicaldaily,1,1.0,1.0,1.0
549,795711462819983360,Collaborative Care & Support Planning a key approach to respond to people with multimorbidity @rcgp https://t.co/taHBZZVYcl,1,1.0,1.0,1.0
550,798547230353489920,RT BBCScienceNews: Database helps plant 'right tree for the right place' https://t.co/NTNueGclGg,1,1.0,1.0,1.0
558,804268948875345920,Indian real estate to see an increase of 4.2 mn units across 8 cities in the next 5 years » https://t.co/wFX4fWcUyk,1,1.0,0.0,0.0
559,804695983544221696,Five ways subscription box services can increase customer retention https://t.co/dkcJywo5yL,1,1.0,0.0,0.0
560,805588979416371200,"So what was Israels reason for attacks, murder and destruction of the Palestinian people before 1982? SIMPLY HATE AND ETHNIC CLEANSING https://t.co/hLlBuxWvcU",1,1.0,0.0,0.0
561,806585328740036609,Up and https://t.co/N2QjTJQ8tU,1,0.0,1.0,1.0
563,808672080690483200,What satellites can tell us about how animals will fare in a changing climate - @NASA https://t.co/HJdka2hiSu #ClimateChange #biodiversity https://t.co/obxUKQ3U91,1,0.0,1.0,1.0
567,811684851619241984,Engineering rice to waste less fertilizer https://t.co/DfON6CoJ2e https://t.co/2wljBDXpFH,1,0.0,1.0,1.0
568,814338973665476609,"RT HealingMB: Stressed? Stretching reduces stress, increasing circulation, reducing pain etc #Healing #Yoga... https://t.co/XTyqkcaSBt",1,1.0,0.0,0.0
571,818219492887199745,Pain changes people.,1,1.0,0.0,0.0
575,820156074930081792,"The happier you are, the less sleep you require to function in everyday life. Sadness increases the urge to sleep more.",1,1.0,0.0,0.0
576,821435427571658753,"Harvard research estimates #ACA repeal will cause 27,000 people to die every year who otherwise would have lived. https://t.co/CNDC574pYd",1,1.0,1.0,1.0
578,823658050833805313,Do conservatives know that legally taking away abortion isn't going to actually stop people from getting abortions?,1,1.0,0.0,0.0
580,825716354585997312,China: The Struggle at the Top | by Andrew J. Nathan | The New York Review of Books https://t.co/DWY8QNvvxg,1,0.0,1.0,1.0
587,832017314908405760,#prnewswire Additional results from pivotal RA-BEAM study published in New England https://t.co/C2iSu6FTEi,1,0.0,1.0,1.0
593,835545584400498688,Innovation - Infection Control - Mathematics supports a new way to classify viruses based on structure: https://t.co/LnptAW3iii,1,1.0,1.0,1.0
597,837671647721177088,Future medical perspectives: Gut bacteria will revolutionise #medicine https://t.co/nAmZqZ4UY6 @Metabolcenter @NEJM @ScienceNordic https://t.co/O8W8BgyUAb,1,1.0,1.0,1.0
600,839139914176479232,#10: RapidKetosis Premium Exogenous Ketone Supplement - Weight Loss Was Never Easier… https://t.co/OoRJlk58BA #Prepared #Foods,1,1.0,0.0,0.0
602,839281326121443329,(3) Fear of illness because of poverty is a national disgrace. It also causes huge numbers to live in a perpetual state of stress.,1,1.0,0.0,0.0
608,845994048796180482,Methane Hydrate: Killer cause of Earth's greatest mass extinction https://t.co/oqnlFrU51i warning: #Elsevier (malicious company),1,1.0,1.0,1.0
610,848697042692169728,The power of science!!!! This is amazing. https://t.co/vXH2gnRTrP,1,0.0,1.0,1.0
611,850025269234741253,Is feminism getting closer to #neoliberalism & #capitalism today than the 70s? Nanette Funk challenges Nancy Fraser https://t.co/l0eTgsE53a,1,1.0,1.0,1.0
615,854729466861559808,Myth: Warm Up can Increase Vertical Jump! True or False? #nba See at : https://t.co/ZjGHyzRNGd https://t.co/jHDDRcxYnb,1,1.0,0.0,0.0
617,855333006227103744,Seeking perfection in trading leads to massive losses https://t.co/VacaxTq2zE,1,1.0,0.0,0.0
618,857656545974398976,student athletes are a different species https://t.co/vDa7gpwZgk,1,1.0,0.0,0.0
626,862030957385310208,Lack of free will and unwillingness to exercise it are functionally equivalent.,1,1.0,0.0,0.0
627,862982829214507010,This story will tear you apart: The Last Person You’d Expect to Die in Childbirth https://t.co/2gGPOVUiv9,1,0.0,1.0,1.0
634,864895567956029440,Want to fight homelessness? Prevent displacement. Research on San Mateo County out today: https://t.co/VerZkDs2jI via @UCBDisplacement,1,1.0,1.0,1.0
