	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
26	3,54781851375763E+017	Girls with asses big enough to cause a pile up #BSE and #TooLive Presents #XXXplicit #July19 @ 814 S. Dixie hwy, Hollywood, FL 33020 Time 9	0	0.0	0.0	0.0
27	3,54971560186102E+017	A wise Physician said, “The best medicine for Humans is LOVE.” Some1 asked, “If it doesn’t work?” He smiled&answered, “ Increase the dose.”	1	1.0	0.0	0.0
28	3,57332201190334E+017	Zimmerman did not win the lotto ppl please stop spreading these Krazy rumors	0	0.0	0.0	0.0
29	3,57516810666525E+017	When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1	1	1.0	0.0	0.0
30	3,5882914546097E+017	#BREAKING:Somalia: Al Shabab ambushes on Kenyan forces in Lower #Juba region http://t.co/h3OuYEpfoQ	0	0.0	0.0	0.0
31	3,59184948294468E+017	dude if people don't stop retweeting that fake frank ocean account..	0	0.0	0.0	0.0
32	3,61218917303194E+017	Teach children to treat animals responsibly do not teach captivity! Join us http://t.co/UR15gQPatU #FreeAllCetacea via @FreeAllCetacea	0	0.0	0.0	0.0
33	3,62177441596322E+017	Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28	1	1.0	0.0	0.0
34	3,62864716030284E+017	#YouKnowYouInTheHoodWhen u see taggings all over the stop signs and shit	0	0.0	0.0	0.0
35	3,6317256536517E+017	MDLinx Blog: MDLinx Blog: Neuropsychological findings in pediatric maltreatment: relationship of PTSD,... http://t.co/sS24IDHCoD	1	0.0	1.0	1.0
36	3,63719380967768E+017	RT @rgj: Barrick Gold reports $8.56 billion Q2 loss http://t.co/fuaTuAH54i	0	0.0	0.0	0.0
37	3,641573460265E+017	Lemme stop talking anus	0	0.0	0.0	0.0
38	3,68890097971655E+017	Mortgage Rates Continue Lower Ahead of... http://t.co/SfSvmYFJn7 #mortgage	0	0.0	0.0	0.0
39	3,69497353503265E+017	"""@GeminisWeAre: # ZodiacAreUs: Lavender is the scent associated with #Gemini."" So that's the reason I LOVEEEEEEEE Lavended"	0	0.0	0.0	0.0
40	3,69662835972141E+017	65% of cats born with blue eyes are deaf.	1	1.0	0.0	0.0
41	3,71197661439078E+017	@najdi_outsider @mayami2012 @mol7daa @ahlamm4 @bibi_dd 1. The study indicate that the brain atrophy is caused by stress not by religion	1	1.0	0.0	1.0
43	3,75481363668795E+017	Over thinking causes the mind to create negative scenarios and replay painful memories.	1	1.0	0.0	0.0
44	3,75599373771899E+017	Sleep 'boosts brain cell numbers' http://t.co/5d9b6G1vob	1	1.0	1.0	1.0
45	3,75694265692594E+017	Please read this request and support this wonderful charity. Continue to pray for Helen Wade and Michelle... http://t.co/WIMFrbPfpA	0	0.0	0.0	0.0
46	3,77536039117935E+017	@mick_keeley omg stop ahahahah this is like year 5 sex ed	0	0.0	0.0	0.0
47	3,78087292306338E+017	Versatile microRNAs Choke Off Cancer Blood Supply, Suppress Metastasis - Science Daily (press release) http://t.co/EFAfQCE57H	1	1.0	1.0	1.0
49	3,7825937559468E+017	Nerd out on this sprawling oral history of Apple design http://t.co/NFc51YVkkp	0	0.0	0.0	0.0
50	3,79218265500684E+017	“@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @EElise13	1	1.0	0.0	0.0
51	3,80010167581962E+017	@CODEREDDD God see and knw yr heart plus u are a fighter continue to stand strong...i'm praying for u!	0	0.0	0.0	0.0
52	3,8034186490309E+017	"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people..."	1	1.0	0.0	0.0
54	3,84330219496018E+017	Yay, Bianca! MT @BZGarcia: Cancer sux! Show support for @andi_sloan & affect positive change now. Sign the petition! http://t.co/KA077fN0gD	0	0.0	0.0	0.0
55	3,84405549905093E+017	This little bellend has to stop crying oh my god get a grip	0	0.0	0.0	0.0
56	3,848810959063E+017	Wavy - Pound Cake (Freestyle): https://t.co/G2Prq59YLL - Support this record. I'm not the one just to send you anything @BET	0	0.0	0.0	0.0
58	3,94131909032161E+017	The world stops for El Classico. Its the rules. Even stopped playing FIFA.	0	0.0	0.0	0.0
59	3,94159135400264E+017	"This Guy Singing ""No Woman No Drive"" Is The Best Video To Support Saudi Women Challenging Driving Ban: “In thi... http://t.co/wRc40wKPFk"	0	0.0	0.0	0.0
60	3,96020068423066E+017	How To Fold A Suit, Shirt & Pants Together To Prevent Wrinkling - http://t.co/tLnnKTTKBU	0	0.0	0.0	0.0
61	3,96940972694569E+017	Modeling precision treatment of breast cancer - looks great ! http://t.co/4XzfGlwAWn	1	0.0	1.0	1.0
62	3,97206548943868E+017	@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.	1	1.0	0.0	0.0
63	3,98450991726486E+017	Aegon UK reports rise in earnings http://t.co/M3FRwylsZU	0	0.0	0.0	0.0
64	3,98716322193764E+017	@MC_Sincere those eyes are a gift send straight from God boy!!! Hahahaha	0	0.0	0.0	0.0
65	3,98893112812392E+017	Amazon plans to lower the cost of processing big data in the cloud : http://t.co/GPpwtMqYlo #socialmedia	0	0.0	0.0	0.0
66	4,02844901475619E+017	#Multiple #Births Cost Significantly More Than Single Births, Study Shows http://t.co/A0alATsStW	1	1.0	1.0	1.0
67	4,02941487509672E+017	The taxi 12s are a must have	0	0.0	0.0	0.0
68	4,0345474728736E+017	"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk"	1	1.0	0.0	0.0
69	4,03892923831292E+017	GTA V Heists demand increases pressure on Rockstar http://t.co/xOduNxypRq #GTAV	0	0.0	0.0	0.0
71	4,05233809253089E+017	Let your hope make you glad. Be patient in time if trouble and never stop praying. #Romans12:12	0	0.0	0.0	0.0
72	4,05903081738469E+017	Leafs played an average game, Pittsburgh's mistakes lead to Leafs goals. Penguins deserved the W..	0	0.0	0.0	0.0
73	4,0912259594702E+017	Who Is Cindy Starfall Promote Cindy Starfall http://t.co/ataFNzowgo another fan vote for @CindyStarfall ;-)	0	0.0	0.0	0.0
74	4,11247736525435E+017	Europa, a moon of Jupiter has a gigantic ocean beneath its icy surface which cracks and shoots water jets into space. http://t.co/rcLoSrZE0C	1	1.0	1.0	1.0
75	4,11681385623982E+017	#wreckingbaIl Thousands rally to support fired Bogota mayor: Some Colombians believe Petro's dismissal could threaten... @onedirslaytion	0	0.0	0.0	0.0
76	4,12650110460236E+017	Isis Supports Wells Fargo Visa Cards: Wells Fargo & Co. and Isis ®, the mobile commerce joint venture created ... http://t.co/DxxvRyQ9YZ	0	0.0	0.0	0.0
78	4,13527115230118E+017	A lucky find of a toe fossil unlocks a genetic encyclopedia for neanderthals http://t.co/gfjo79RuSv	1	1.0	1.0	1.0
79	4,16820259471893E+017	Damn it! Dragon go back to bed and stop breathing fire everywhere	0	0.0	0.0	0.0
80	4,1682490622387E+017	@mishra_abhi Media stop looking at caste identities & start looking at performance of MLAs/Ministers/officials/policemen @prasannavishy	0	0.0	0.0	0.0
81	4,17390745067463E+017	#WeLoveAndMissYouZayn #OneDirectionPleaseDoAFollowSpreeForNewYears Rt if u support gay rights	0	0.0	0.0	0.0
82	4,18044514138591E+017	Goals for 2014 are as follows: 1) Stop 2) Drop 3) Shut'em down 4) Open up shop.	0	0.0	0.0	0.0
83	4,19031039776805E+017	Hildersham villagers unite to stop pub closure @SouthCambs @Roger_Hickford http://t.co/KvO4SxJkel	0	0.0	0.0	0.0
84	4,19047430718374E+017	.@GreenJournal study show this infection can increase risk of strokes and heart attacks http://t.co/OnPKAwpomh	1	1.0	1.0	1.0
85	4,20227019985932E+017	Looking for some fun science activities for the cold month ahead? January Science Calendar http://t.co/cGs2nvv7Bx @HSScientist	0	0.0	0.0	0.0
86	4,24003986866201E+017	“@ashu_165: #CongBJPquitIndia Stop ur false propaganda http://t.co/Cp5NptVU0Q”#UnitedWithAAP	0	0.0	0.0	0.0
87	4,26482774065689E+017	Microsoft Says Product Demand Remains High, Reports Record $24.52 Billion Revenue For FY14 Q2 http://t.co/YmxCGR2I9L	0	0.0	0.0	0.0
88	4,26751675102011E+017	Trekstock is being held in London not the LA so stop spreading rumours -J	0	0.0	0.0	0.0
89	4,2704236552287E+017	the dog will not stop fuckin snoring	0	0.0	0.0	0.0
90	4,27397314487915E+017	Cesar stop a whole war is gonna break out with cheerleading	0	0.0	0.0	0.0
92	4,30147526222971E+017	#REVENGE Interesting characters, non stop action and full of twists, this is a great new thriller! http://t.co/4ZpKXbl1Z3 XvvA	0	0.0	0.0	0.0
93	4,30698608137351E+017	Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!	1	1.0	0.0	0.0
94	4,31030192312967E+017	Floral Hall Wedding Fayre Sunday Mar 23rd - All proceeds on door to go to @DougieMacstoke - Please come along and support #tunstall #stoke	0	0.0	0.0	0.0
95	4,31083759085969E+017	A NOBLE CAUSE DIES 1000 DEATHS TIL A HEART IS CHANGED #WEARETHEPEOPLE	0	0.0	0.0	0.0
96	4,3132102118697E+017	The Biology of Belief: Unleashing the Power of Consciousness, Matter, & Miracles by Bruce H. Lipton, who is a scientist turned mystic.	1	0.0	1.0	1.0
97	4,32580268667716E+017	"3OMF's, supposedly ""grown men"" will not stop talking about flappy bird in group chat. Has been the only topic of discussion today."	0	0.0	0.0	0.0
98	4,35062684263141E+017	Hey guess new Twitter cause new phone so yea please lik, direct tweet, nd please follow thx Luvs bii	0	0.0	0.0	0.0
99	4,35574632641757E+017	@CordeliaLogan Exactly. There’s nothing in that link that causes text messages to be sent. That just performs a follow.	0	0.0	0.0	0.0
100	4,36645794943226E+017	Yep. Eating vegetarian today. Geez. “@nprnews: 'Piglet Smoothie' Fed To Sows To Prevent Disease; Activists Outraged http://t.co/5LifNxWuiR”	0	0.0	0.0	0.0
101	4,37737194787062E+017	WARNING! Bible reading can be habit forming and will cause loss of fear and anxiety. Side effects are joy, love, peace, and contentment!	1	1.0	0.0	0.0
102	4,3823716420828E+017	#TRAINhealth Research found improvement in sleep quality was linked w/ weight loss, meaning a flatter stomach could mean better sleep	1	1.0	0.0	1.0
105	4,40497667790361E+017	Niggas jus need to live an stop the stressing	0	0.0	0.0	0.0
106	4,40536137744937E+017	North Korea puts Yorkshire Terriers in zoo: http://t.co/VyABEx7YnO	0	0.0	0.0	0.0
107	4,40922374318211E+017	@SpeakerBoehner #GOP #ImmigrationReform is still in ur hands #latism will not stop the fight #TNTweeters @DRMAction http://t.co/sxc5kcN1aw	0	0.0	0.0	0.0
108	4,42142644257321E+017	What the New HIV Breakthroughs Mean for the Future of the Disease | Healthy Living - Yahoo Shine http://t.co/f1qN57RHHO	1	0.0	1.0	1.0
109	4,42207643893903E+017	Spice up your diet for greater fat loss: http://t.co/la5L94hm8p	1	1.0	1.0	1.0
110	4,43314171921175E+017	Retirement home laws ‘in need of review’. @AdamMarshall777 reports in #7NewsBris http://t.co/AVupGZ3m34	0	0.0	0.0	0.0
111	4,4367075417838E+017	What will digital life look like in a decade? Some predictions, from the optimistic to mind control http://t.co/q4F7Bice83	1	0.0	1.0	1.0
112	4,44915993132143E+017	@nma08244 Small step for man, quantum leap for particle kind! http://t.co/aVhtJyxr1Y & http://t.co/YTULs3Xoc6 http://t.co/iXTn0CjehM	1	0.0	1.0	1.0
113	4,45991077552865E+017	Determination leads to Success. Best day of my life #nowplaying	1	1.0	0.0	0.0
114	4,46121717560115E+017	Blonde Girl Starts to Masturbate Leads to a Quick Fuck http://t.co/FvlwBW1twq #movie #music #ass #lol #video	0	0.0	0.0	0.0
115	4,46486621999727E+017	http://t.co/JcgzoUqu1f We specialise in providing the modular ground study courses required to convert your ICAO professional	0	0.0	0.0	0.0
116	4,46689236226671E+017	More great printing work by @instantprint, helping us launch our new brand identity. http://t.co/1H2bbdpUir	0	0.0	0.0	0.0
117	4,5195499615882E+017	“@Tasha_unicorns: Deep has got to stop being so deep”	0	0.0	0.0	0.0
118	4,53229267673813E+017	Can't find the alien exercise	0	0.0	0.0	0.0
119	4,53731216789738E+017	The underground just don't stop for hoes 😂✋💃	0	0.0	0.0	0.0
120	4,55624643052057E+017	Neurobiological Bases of Abnormal Aggression and Violent Behaviour http://t.co/NWDSQy95AT	1	0.0	1.0	1.0
121	4,56139274162029E+017	A raise to $1.8 million would have placed Martin's salary no higher than eighth in the SEC.	0	0.0	0.0	0.0
122	4,58622450537075E+017	Dark Skin May Be A Protector Against Cancer http://t.co/lrC8Rsuyqz	1	1.0	0.0	0.0
123	4,61347905081598E+017	Missouri Senate passes sales tax increase for roads ..BreakingNews KansasCity http://t.co/wJDUA338uL	0	0.0	0.0	0.0
124	4,61827109309399E+017	LEED-certified buildings are often less energy-efficient than un-certified ones: http://t.co/DXj3ez07x7	1	1.0	0.0	1.0
125	4,64203433394717E+017	Job : Durham NC - Sr. Network Security Engineer - support Network Based Security infrastructure to provide sec... http://t.co/zVltTs0ogH	0	0.0	0.0	0.0
126	4,64442462573171E+017	MAY SPECIAL - SIGN UP FOR $29.95 ($20 savings) Need more money? Love candles? Work from home selling http://t.co/GN8BLNUt0k	0	0.0	0.0	0.0
127	4,64497496056947E+017	I hate people. Take good pics of zayn and stop taking so many of grease ball	0	0.0	0.0	0.0
128	4,64540328293585E+017	"Unbelievable day at #ACDIS2014 today. So many people saying the same thing ""No One Else Is doing that..."" Stop by Friday learn what THAT is!"	0	0.0	0.0	0.0
129	4,64696255738704E+017	5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://t.co/IxuQ4hfxw5	1	1.0	0.0	0.0
130	4,659288903815E+017	@BarsAndMelody song has basically started a trend to stop bullying💖 #putastoptobullying2014	0	0.0	0.0	0.0
131	4,66216322750091E+017	#Beijing, #China sees significant increase of armed #police presence on streets http://t.co/HaTeA4kg08	1	1.0	0.0	0.0
132	4,66468978333061E+017	Photos: San Diego wildfires lead to evacuation of 20000 homes - Washington Post http://t.co/NqmUnXMScg	0	0.0	0.0	0.0
133	4,6659273080243E+017	UK population is eating too much sugar, saturated fat and salt https://t.co/jqqJ8TBWGI	1	1.0	1.0	1.0
134	4,67006461605081E+017	Even Superman had to get a job. Moral of this story is Stop saving everyone for free. #FLYE… http://t.co/p7mhlBbgbt	0	0.0	0.0	0.0
135	4,69874033035837E+017	"""@DWatson2x: DeSoto Need To Stop Spending Money On They Football Team Who Can't Win State & Fix These Bathrooms""💀💀💀💀"	0	0.0	0.0	0.0
136	4,70338351090778E+017	Selector Infected WIXOSS Causes Sharp Decline in Card Sales http://t.co/mVqmEU9IxQ	0	0.0	0.0	0.0
137	4,71667239288992E+017	Don't miss the June 17 VRUC: #Jazz & #CLM meeting: Delivering Better Requirements via Expert Systems - http://t.co/D7giMPeEYf #RationalUC	0	0.0	0.0	0.0
138	4,73924366242021E+017	@SenatorParker New York State must not set a precedent of passing laws that support quackery. Here's a great post: http://t.co/atM6hdDzMq	1	0.0	1.0	1.0
139	4,749678881099E+017	"""@KingVegeta_: @Joiko_Saiyan #ProjectXVegeta"" Supports this with immense description."	0	0.0	0.0	0.0
140	4,76878532141138E+017	POLYGAMISOGYNIST: (n) One of the 'peaceful & tolerant' who has more than one wife to treat in an unkind and UNEQUALITARIAN manner	0	0.0	0.0	0.0
141	4,77571422391656E+017	Soccer? Whats that? Twitter promotes one sport?	0	0.0	0.0	0.0
142	4,80400493253259E+017	Honestly I won't be surprised if Iran win. Upsets are a theme this world cup	0	0.0	0.0	0.0
143	4,8134310436497E+017	The Weight Loss Plateau: Causes And Solutions For This Frustrating Problem http://t.co/MYtEQVW75l htt... http:... http://t.co/moOAcMCaXT	0	0.0	0.0	0.0
144	4,82893912239899E+017	people who are jealous automatically call whoever Justin's associated with a hoe or a thot like stop.	0	0.0	0.0	0.0
145	4,83587157677064E+017	The who, what, when, where, and why of the @BloombergCities & @nesta_uk #Iteams research http://t.co/1tCfbw4QPI #innovation #publicsector	1	0.0	0.0	1.0
146	4,84512446313271E+017	Birthday dinner - a biscuit & a Rice Krispie treat courtesy of @ali_harlan. Solid twenty minutes at home between tumbling & church.😉 #hangry	0	0.0	0.0	0.0
147	4,84710692357157E+017	Smoking cigarettes are a turn off. 😷	0	0.0	0.0	0.0
148	4,84910242463891E+017	Came to a bus stop to watch the fireworks 😂	0	0.0	0.0	0.0
149	4,85168452219314E+017	People gotta stop a the international shirts today and start wearing American shirts -,- 🇺🇸 #usa	0	0.0	0.0	0.0
150	4,86396678669599E+017	Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning. - Albert Einstein	0	0.0	0.0	0.0
152	4,8673541905306E+017	"""Shall we pray before we eat?"" (Note, this is what scholars call a 'rhetorical' question) #FirstDateQuestions"	0	0.0	0.0	0.0
153	4,87505910097396E+017	truuu “@lilbodyjas: Mixed signals are a bitch lol”	0	0.0	0.0	0.0
154	4,88042032825664E+017	🇺🇸 CBS: Census Data Show U.S. Doesn't Have Shortage of STEM Workers http://t.co/bhPpXhGcYI #WIUNION	1	1.0	1.0	1.0
155	4,8838008263791E+017	“@leeezy__: ladies, stop with the knee high gladiator sandals..pls”#fixitJesus	0	0.0	0.0	0.0
156	4,88482672965341E+017	@miscarriage_hlp @BLA_Campaign please help support this movie. Based on the true story of the writer. http://t.co/gW9XpJcxIs #jacobandi	0	0.0	0.0	0.0
157	4,88514739241505E+017	These birds won't stop cherping!	0	0.0	0.0	0.0
158	4,89011101586039E+017	@Bruciebabe @WillardFoxton @doxievee @Nicksb36 @richardcalhoun Same people who believe statistics are a science.	0	0.0	0.0	0.0
159	4,90480937759932E+017	The head coach surveys the scene at Heritage Park http://t.co/yJrxAyPHTW	0	0.0	0.0	0.0
160	4,90727800832152E+017	Adversity causes some men to break; others to break records.	1	1.0	0.0	0.0
161	4,91594818464657E+017	Disabled vehicle, center lane blocked in on Rt 128 NB after EX 20 - Rt 9 stop and go traffic from EX 15 - Rt 1, delay of 15 mins #traffic	0	0.0	0.0	0.0
162	4,93121404897096E+017	#TelAviv: Israelis protesting against #GazaUnderAttack calling on Israeli government to stop the attack http://t.co/hyZA1OQGIW	0	0.0	0.0	0.0
163	4,93202938840367E+017	BY THIS MAGIC LITTLE WHO GRANT EVERY WISH CAUSE IN REALITY	0	0.0	0.0	0.0
164	4,93775214762E+017	@RoxOrganisation proud to be associated with Rox! Well organised professionally run oh and great hospitality thanks to all	0	0.0	0.0	0.0
165	4,94471416562328E+017	Make sure you get down to my mate @timcroninmusic's gig TOMORROW! Raising money for an amazing cause too @for_luca http://t.co/tNgqYbIf91	0	0.0	0.0	0.0
167	4,96025919849759E+017	Environmental lawyers are a real thing? I thought it was a fictional occupation created by @HIMYM_CBS & @jasonsegel http://t.co/5Paag2DTb6	0	0.0	0.0	0.0
168	4,9666145289243E+017	U.S. Attorney/DEA to announce results of invest. into the distribution of performance enhancing drugs to minors/athletes at 12:30 in Miami	0	0.0	0.0	0.0
169	4,96878982545953E+017	@opticempire Also http://t.co/pz9yjM6aGp reports it is down	0	0.0	0.0	0.0
170	4,96963334198293E+017	"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding."""	1	1.0	0.0	0.0
171	4,97168934798631E+017	“@jomonery1: @lynseybarry @JennyTandy lovely night again ladies!” Gotta stop the espresso martinis though!	0	0.0	0.0	0.0
172	4,98266865157026E+017	154 rat tumors #MTVHottest Example	0	0.0	0.0	0.0
174	4,99772888715895E+017	All probably from a flea color.... This throwing ups gotta stop at some point right.... 😧	0	0.0	0.0	0.0
175	5,01656858562929E+017	Min.@DipuoPeters in the process of finalizing the scholar trans policy to address safety of learners to school.	0	0.0	0.0	0.0
176	5,0366962785178E+017	A new study suggests that marijuana increases positivity and reduces the negativity in emotional processing.	1	1.0	0.0	1.0
177	5,044751447994E+017	Overthinking leads to negative thoughts.	1	1.0	0.0	0.0
178	5,04923849348379E+017	Furthermore, drinking more water alone actually aids in losing weight.	1	1.0	0.0	0.0
179	5,05360614370587E+017	Desperate climate scam scientists explain away record high Antarctic sea ice extent as being caused by global warming http://t.co/WyqS6AzLIY	1	1.0	1.0	1.0
180	5,06084376719798E+017	Tune into Dawn News to hear some great expert analysis by Zafar Hilali	0	0.0	0.0	0.0
181	5,06788560456798E+017	The @nytimes couldn't have picked worse ex. than Bielema at Ark to support research that CFB coaches aren't overpaid: http://t.co/RhOBUcjrgj	0	0.0	0.0	0.0
182	5,09058030869414E+017	What is the aggregate economic rate of return to foreign #aid? | Channing Arndt, Sam Jones, and Finn Tarp, WIDER http://t.co/xAikUtglDp	1	1.0	1.0	1.0
183	5,09873947156808E+017	Concussion 'breathalyser' proposed http://t.co/n7T5NeBAdV Published September 11, 2014 at 01:46AM	1	0.0	1.0	1.0
184	5,09990351696695E+017	Next profits up on economic revival: Next reports a strong rise in half-year profits as higher house prices an... http://t.co/9rwOJ9EUtb	0	0.0	0.0	0.0
186	5,12605990953697E+017	This #ImplementationScience article describes an intervention program aimed at reducing late life depression symptom…/buff.ly/1tWWwz9	1	0.0	1.0	1.0
187	5,13248243770483E+017	Children of Fallen Soldiers Relief supports surviving U.S. Military children. Visit & #Donate @ http://t.co/knHA5cCjBZ #VA #DAV	0	0.0	0.0	0.0
188	5,13800792990442E+017	All Thats Cosplay Video Interview: ATC's Femme Fatale Nicole Salera! See the Video Interview at:… http://t.co/6GsVMYId2y	0	0.0	0.0	0.0
190	5,1493359898239E+017	also cancer is virtually incurable bc all cancers are different :)	1	1.0	0.0	0.0
191	5,15516909253853E+017	Check out this overview of Encouraging #Bible Study from the book “Loaded with Benefits” at http://t.co/FJNHwe0qgC #Christian #Jesus	0	0.0	0.0	0.0
192	5,15861475529728E+017	@mark Research it.I'd say they fired a missle into the center of that scar so it appeared as If the plane exploded there.Metal pieces?Missle	0	0.0	0.0	0.0
193	5,16646497228947E+017	Students need to support this team. These are your peers, exceeding expectations and quieting the doubters. They deserve your presence.	0	0.0	0.0	0.0
194	5,16699078000779E+017	Thanks for all of the recent love & support on Twitch & YT! We will be giving away a HUGE @ToastyStickers bundle soon so stay tuned ;)	0	0.0	0.0	0.0
195	5,17798883234034E+017	Search Warrant Leads to Arrest for Cocaine Sales in Pleasanton http://t.co/5dLTEYIqIB	0	0.0	0.0	0.0
196	5,1849927328596E+017	"11 Real-Life Dolls That Are Creepier Than ‘Annabelle’: 11 real life dolls that are a million times scarier than ""Annabelle."" No, really."	0	0.0	0.0	0.0
197	5,18926568031539E+017	Bali Women's One Smooth U Side Support Underwire Bra - style 3547 #7111 http://t.co/sMgxxJ51iK http://t.co/YNtBRNYCKw	0	0.0	0.0	0.0
198	5,19171075109057E+017	Vice President Biden's visit to L.A. likely to cause delays during rush hour; here's list of areas to avoid: http://t.co/4D3yU971AL	0	0.0	0.0	0.0
199	5,20620915722183E+017	not a full extend bro stop “@AchaFlocka: “@MySportsLegion: Welcome back Kobe. http://t.co/uSXYk6CuqC”------ he pushed off..... 😐😐😐”	0	0.0	0.0	0.0
200	5,21767676302357E+017	Is Ebola a health care system mishap?	1	1.0	0.0	0.0
201	5,21850551571862E+017	Social media is such an unnecessary thing that causes so much drama	0	0.0	0.0	0.0
202	5,2366562823048E+017	But wait that was childish lemme stop ✋ lol	0	0.0	0.0	0.0
203	5,24573573403673E+017	@tastedmahone @SexMahone *tags and reports to 20 other ppls* #AustinMahoneSexiest	0	0.0	0.0	0.0
204	5,26715558562386E+017	Mondays are a drag	0	0.0	0.0	0.0
205	5,27394348573655E+017	Is #Ebola being discussed at school? Use this blog to promote #FactsNotFear http://t.co/mcQ9JFG1wa 2 more blogs out this week @wellcometrust	0	0.0	0.0	0.0
206	5,27782174037389E+017	One day after the end of QE, and as the torrent of Q3 earnings reports continues, major U.S. stock index futures are all lower by about 0.4%	0	0.0	0.0	0.0
207	5,27805540475621E+017	Mr Chakane has thanked media, the PSL, SAPS, SAFA, global icons, and all South Africans for the support to the Meyiwas, Mulaudzis & Mwelases	0	0.0	0.0	0.0
208	5,27823873799385E+017	Lupus Research Institute Awards $1-Million Grants to Discover What Causes Lupus http://t.co/aXopNmLyI7	1	0.0	0.0	1.0
209	5,28250233986515E+017	.@VirginGalactic reports problem during SpaceShipTwo flight http://t.co/59PxOitX1R	0	0.0	0.0	0.0
210	5,31600924217999E+017	Did you know that what you eat can affect your productivity level? http://t.co/oiCH1IuAVO	1	1.0	1.0	1.0
211	5,32183622099685E+017	Functioning Of Human Brain http://t.co/0cmzIMDaje	0	0.0	0.0	0.0
